"Idx","NivelSalarial","AcidenteTrabalho","Saiu","Promovido5anos","Departamento","Satisfacao","UltimaAvaliacao","NumProjetos","HorasMensais","TempoServico"
"1","Baixo","0","1","0","sales",0.38,0.53,2,157,3
"2","Médio","0","1","0","sales",0.8,0.86,5,262,6
"3","Médio","0","1","0","sales",0.11,0.88,7,272,4
"4","Baixo","0","1","0","sales",0.72,0.87,5,223,5
"5","Baixo","0","1","0","sales",0.37,0.52,2,159,3
"6","Baixo","0","1","0","sales",0.41,0.5,2,153,3
"7","Baixo","0","1","0","sales",0.1,0.77,6,247,4
"8","Baixo","0","1","0","sales",0.92,0.85,5,259,5
"9","Baixo","0","1","0","sales",0.89,1,5,224,5
"10","Baixo","0","1","0","sales",0.42,0.53,2,142,3
"11","Baixo","0","1","0","sales",0.45,0.54,2,135,3
"12","Baixo","0","1","0","sales",0.11,0.81,6,305,4
"13","Baixo","0","1","0","sales",0.84,0.92,4,234,5
"14","Baixo","0","1","0","sales",0.41,0.55,2,148,3
"15","Baixo","0","1","0","sales",0.36,0.56,2,137,3
"16","Baixo","0","1","0","sales",0.38,0.54,2,143,3
"17","Baixo","0","1","0","sales",0.45,0.47,2,160,3
"18","Baixo","0","1","0","sales",0.78,0.99,4,255,6
"19","Baixo","1","1","1","sales",0.45,0.51,2,160,3
"20","Baixo","0","1","0","sales",0.76,0.89,5,262,5
"21","Baixo","0","1","0","sales",0.11,0.83,6,282,4
"22","Baixo","0","1","0","sales",0.38,0.55,2,147,3
"23","Baixo","0","1","0","sales",0.09,0.95,6,304,4
"24","Baixo","0","1","0","sales",0.46,0.57,2,139,3
"25","Baixo","0","1","0","sales",0.4,0.53,2,158,3
"26","Baixo","0","1","0","sales",0.89,0.92,5,242,5
"27","Baixo","0","1","0","sales",0.82,0.87,4,239,5
"28","Baixo","0","1","0","sales",0.4,0.49,2,135,3
"29","Baixo","0","1","0","accounting",0.41,0.46,2,128,3
"30","Baixo","0","1","0","accounting",0.38,0.5,2,132,3
"31","Baixo","0","1","0","accounting",0.09,0.62,6,294,4
"32","Baixo","0","1","0","hr",0.45,0.57,2,134,3
"33","Baixo","0","1","0","hr",0.4,0.51,2,145,3
"34","Baixo","0","1","0","hr",0.45,0.55,2,140,3
"35","Baixo","0","1","0","hr",0.84,0.87,4,246,6
"36","Baixo","0","1","0","technical",0.1,0.94,6,255,4
"37","Baixo","0","1","0","technical",0.38,0.46,2,137,3
"38","Baixo","0","1","0","technical",0.45,0.5,2,126,3
"39","Baixo","0","1","0","technical",0.11,0.89,6,306,4
"40","Baixo","0","1","0","technical",0.41,0.54,2,152,3
"41","Baixo","0","1","0","technical",0.87,0.88,5,269,5
"42","Baixo","0","1","0","technical",0.45,0.48,2,158,3
"43","Baixo","0","1","0","technical",0.4,0.46,2,127,3
"44","Baixo","0","1","0","technical",0.1,0.8,7,281,4
"45","Baixo","0","1","0","technical",0.09,0.89,6,276,4
"46","Baixo","0","1","0","technical",0.84,0.74,3,182,4
"47","Baixo","0","1","0","support",0.4,0.55,2,147,3
"48","Baixo","0","1","0","support",0.57,0.7,3,273,6
"49","Baixo","0","1","0","support",0.4,0.54,2,148,3
"50","Baixo","0","1","0","support",0.43,0.47,2,147,3
"51","Baixo","0","1","0","support",0.13,0.78,6,152,2
"52","Baixo","0","1","0","support",0.44,0.55,2,135,3
"53","Baixo","0","1","0","support",0.38,0.55,2,134,3
"54","Baixo","0","1","0","support",0.39,0.54,2,132,3
"55","Baixo","0","1","0","support",0.1,0.92,7,307,4
"56","Baixo","0","1","0","support",0.37,0.46,2,140,3
"57","Baixo","0","1","0","support",0.11,0.94,7,255,4
"58","Baixo","0","1","0","technical",0.1,0.81,6,309,4
"59","Baixo","0","1","0","technical",0.38,0.54,2,128,3
"60","Baixo","0","1","0","technical",0.85,1,4,225,5
"61","Médio","0","1","0","management",0.85,0.91,5,226,5
"62","Médio","0","1","0","IT",0.11,0.93,7,308,4
"63","Médio","0","1","0","IT",0.1,0.95,6,244,5
"64","Médio","0","1","0","IT",0.36,0.56,2,132,3
"65","Médio","0","1","0","IT",0.11,0.94,6,286,4
"66","Médio","0","1","0","IT",0.81,0.7,6,161,4
"67","Médio","0","1","0","product_mng",0.43,0.54,2,153,3
"68","Médio","0","1","0","product_mng",0.9,0.98,4,264,6
"69","Médio","1","1","0","product_mng",0.76,0.86,5,223,5
"70","Médio","0","1","0","product_mng",0.43,0.5,2,135,3
"71","Médio","0","1","0","IT",0.74,0.99,2,277,3
"72","Médio","0","1","0","product_mng",0.09,0.77,5,275,4
"73","Alto","0","1","0","product_mng",0.45,0.49,2,149,3
"74","Baixo","0","1","0","product_mng",0.09,0.87,7,295,4
"75","Médio","0","1","0","product_mng",0.11,0.97,6,277,4
"76","Médio","0","1","0","product_mng",0.11,0.79,7,306,4
"77","Médio","0","1","0","product_mng",0.1,0.83,6,295,4
"78","Médio","0","1","0","marketing",0.4,0.54,2,137,3
"79","Baixo","0","1","0","sales",0.43,0.56,2,157,3
"80","Baixo","0","1","0","accounting",0.39,0.56,2,142,3
"81","Baixo","0","1","0","support",0.45,0.54,2,140,3
"82","Baixo","0","1","0","technical",0.38,0.49,2,151,3
"83","Baixo","0","1","1","management",0.79,0.59,4,139,3
"84","Baixo","0","1","0","marketing",0.84,0.85,4,249,6
"85","Baixo","0","1","0","marketing",0.11,0.77,6,291,4
"86","Baixo","0","1","0","marketing",0.11,0.87,6,305,4
"87","Baixo","0","1","0","sales",0.17,0.84,5,232,3
"88","Baixo","0","1","0","sales",0.44,0.45,2,132,3
"89","Baixo","0","1","0","sales",0.37,0.57,2,130,3
"90","Baixo","0","1","0","sales",0.1,0.79,6,291,4
"91","Baixo","0","1","0","sales",0.4,0.5,2,130,3
"92","Baixo","0","1","0","sales",0.89,1,5,246,5
"93","Baixo","0","1","0","sales",0.42,0.48,2,143,3
"94","Baixo","0","1","0","sales",0.46,0.55,2,129,3
"95","Baixo","0","1","0","sales",0.09,0.83,6,255,4
"96","Baixo","0","1","0","sales",0.37,0.51,2,155,3
"97","Baixo","0","1","0","sales",0.1,0.77,6,265,4
"98","Baixo","0","1","0","sales",0.1,0.84,6,279,4
"99","Baixo","0","1","0","sales",0.11,0.97,6,284,4
